c.company_id,company_name,company_city,p.person_id,person_name,year,shares,nominal_value,obtained_through
1,BUDVANSKA RIVIJERA,Budva,3,Svetozar Marović,2010,110,/,/
2,BUDVANSKA RIVIJERA,Budva,3,Svetozar Marović,2011,110,/,/
3,/,Budva,3,Svetozar Marović,2012,/,/,/
4,BUDVANSKA RIVIJERA,Budva,3,Svetozar Marović,2014,110,"2.194,29",/
5,BUDVANSKA RIVIJERA,Budva,3,Svetozar Marović,2014,110,"2.194,29",/
6,HLT FOND,Podgorica,4,Valentina Radulović Šćepanović,2012,4 VAUČERA,/,/
6,HLT FOND,Podgorica,4,Valentina Radulović Šćepanović,2013,4 VAUČERA,/,/
7,STAKLENICI U STEČAJU,Podgorica,4,Valentina Radulović Šćepanović,2014,79 AKC,"269,28 €",/
6,HLT FOND,Podgorica,4,Valentina Radulović Šćepanović,2014,26947,"4 252,02",/
8,AD PLANTAŽE,Podgorica,4,Valentina Radulović Šćepanović,2014,60,"30,68",/
9,HLT FOND,Podgorica,5,Željko Šturanović,2005,MVP,,
6,HLT FOND,Podgorica,5,Željko Šturanović,2010,1 VAUČER,/,/
6,HLT FOND,Podgorica,5,Željko Šturanović,2011,1 VAUČER,/,/
6,HLT FOND,Podgorica,5,Željko Šturanović,2012,1 VAUČER,/,/
6,HLT FOND,Podgorica,5,Željko Šturanović,2013,1 VAUČER,/,/
10,ELEKTROPRIVREDA,Nikšić,6,Jelisava Kalezić,2014,490,3.747.62,/
11,FABRIKA ELEKTRODA,Plužine,6,Jelisava Kalezić,2014,18,460.16,/
12,NIKŠIĆKI MLIN,Nikšić,6,Jelisava Kalezić,2014,34,334.31,/
13,ELEKTROPRENOS,Podgorica,6,Jelisava Kalezić,2014,490,519.94,/
14,STAKLENICI 13 JUL,Podgorica,6,Jelisava Kalezić,2014,16,51.54,/
6,HLT FOND,Podgorica,6,Jelisava Kalezić,2014,5.389,850.34,/
10,ELEKTROPRIVREDA,Nikšić,6,Jelisava Kalezić,2015,490,3.747.62,/
11,FABRIKA ELEKTRODA,Plužine,6,Jelisava Kalezić,2015,18,460.16,/
12,NIKŠIĆKI MLIN,Nikšić,6,Jelisava Kalezić,2015,34,334.31,/
13,ELEKTROPRENOS,Podgorica,6,Jelisava Kalezić,2015,490,519.94,/
14,STAKLENICI 13 JUL,Podgorica,6,Jelisava Kalezić,2015,16,54.54,/
6,HLT FOND,Podgorica,6,Jelisava Kalezić,2015,5.389,850.34,/
15,MIN FINANS ST.MI 2015,Podgorica,6,Jelisava Kalezić,2015,/,116,/
16,AD PLANTAŽE,Podgorica,8,Dragan Ðurović,2006,Vaučer,,
16,AD PLANTAŽE,Podgorica,9,Dragan Đurović,2006,Vaučer,,
17,AD PLANTAŽE,Podgorica,8,Dragan Ðurović,2007,,,
17,AD PLANTAŽE,Podgorica,9,Dragan Đurović,2007,,,
18,AD PLANTAŽE,Podgorica,8,Dragan Ðurović,2007,,,
18,AD PLANTAŽE,Podgorica,9,Dragan Đurović,2007,,,
19,AD PLANTAŽE,Podgorica,8,Dragan Ðurović,2009,AKC,,
19,AD PLANTAŽE,Podgorica,9,Dragan Đurović,2009,,,
20,AD PLANTAŽE,,8,Dragan Ðurović,2009,3 357 AKC.,,
,NIPPOBJEDA,,8,Dragan Ðurović,,,,
20,AD PLANTAŽE,Podgorica,9,Dragan Đurović,2009,3357,,
,NIPPOBJEDA,Podgorica,9,Dragan Đurović,2009.0,,,
21,NJP POBJEDA,Podgorica,8,Dragan Ðurović,2010,566,/,PO OSN RADA
22,AD PLANTAŽE,Plav,8,Dragan Ðurović,2010,7878,"0, 51",PO OSN. RADA
21,NJP POBJEDA,Podgorica,9,Dragan Đurović,2010,566,/,PO OSN RADA
22,AD PLANTAŽE,Plav,9,Dragan Đurović,2010,7878,"0, 51",PO OSN. RADA
23,NJP PODGORICA,Podgorica,8,Dragan Ðurović,2010,566,/,PO OSN. RADA
24,AD PLANTAŽE,Podgorica,8,Dragan Ðurović,2010,3357,/,PO OSN. RADA
23,NJP PODGORICA,Podgorica,9,Dragan Đurović,2010,566,/,PO OSN. RADA
24,AD PLANTAŽE,Podgorica,9,Dragan Đurović,2010,3357,/,PO OSN. RADA
21,NJP POBJEDA,Podgorica,8,Dragan Ðurović,2011,566,/,PO OSN RADA
22,AD PLANTAŽE,Plav,8,Dragan Ðurović,2011,7878,"0, 51",PO OSN. RADA
21,NJP POBJEDA,Podgorica,9,Dragan Đurović,2011,566,/,PO OSN RADA
22,AD PLANTAŽE,Plav,9,Dragan Đurović,2011,7878,"0, 51",PO OSN. RADA
23,NJP PODGORICA,Podgorica,8,Dragan Ðurović,2011,566,/,PO OSN. RADA
24,AD PLANTAŽE,Podgorica,8,Dragan Ðurović,2011,3357,/,PO OSN. RADA
23,NJP PODGORICA,Podgorica,9,Dragan Đurović,2011,566,/,PO OSN. RADA
24,AD PLANTAŽE,Podgorica,9,Dragan Đurović,2011,3357,/,PO OSN. RADA
21,NJP POBJEDA,Podgorica,8,Dragan Ðurović,2012,566,/,PO OSN RADA
22,AD PLANTAŽE,Plav,8,Dragan Ðurović,2012,7878,"0, 51",PO OSN. RADA
21,NJP POBJEDA,Podgorica,9,Dragan Đurović,2012,566,/,PO OSN RADA
22,AD PLANTAŽE,Plav,9,Dragan Đurović,2012,7878,"0, 51",PO OSN. RADA
23,NJP PODGORICA,Podgorica,8,Dragan Ðurović,2012,566,/,PO OSN. RADA
24,AD PLANTAŽE,Podgorica,8,Dragan Ðurović,2012,3357,/,PO OSN. RADA
23,NJP PODGORICA,Podgorica,9,Dragan Đurović,2012,566,/,PO OSN. RADA
24,AD PLANTAŽE,Podgorica,9,Dragan Đurović,2012,3357,/,PO OSN. RADA
21,NJP POBJEDA,Podgorica,8,Dragan Ðurović,2013,566,/,PO OSN RADA
22,AD PLANTAŽE,Plav,8,Dragan Ðurović,2013,7878,"0, 51",PO OSN. RADA
21,NJP POBJEDA,Podgorica,9,Dragan Đurović,2013,566,/,PO OSN RADA
22,AD PLANTAŽE,Plav,9,Dragan Đurović,2013,7878,"0, 51",PO OSN. RADA
23,NJP PODGORICA,Podgorica,8,Dragan Ðurović,2013,566,/,PO OSN. RADA
24,AD PLANTAŽE,Podgorica,8,Dragan Ðurović,2013,3357,/,PO OSN. RADA
23,NJP PODGORICA,Podgorica,9,Dragan Đurović,2013,566,/,PO OSN. RADA
24,AD PLANTAŽE,Podgorica,9,Dragan Đurović,2013,3357,/,PO OSN. RADA
21,NJP POBJEDA,Podgorica,8,Dragan Ðurović,2014,566,/,PO OSN RADA
24,AD PLANTAŽE,Podgorica,8,Dragan Ðurović,2014,7878,"0, 51",PO OSN. RADA
21,NJP POBJEDA,Podgorica,9,Dragan Đurović,2014,566,/,PO OSN RADA
