p.person_id,p.person_name,job.report_year,job.job_name,job.monthly_salary,job.job_id
1,"Fuad Nimani",2005,"PREDSJEDNIK OPŠTINE ULCINJ",,1
1,"Fuad Nimani",2005,"PREDSJEDNIK OPŠTINE ULCINJ",,2
1,"Fuad Nimani",2005,"PREDSJEDNIK OPŠTINE ULCINJ",,3
2,"Marija Vučinović",2008,"ODBORNIK SO TIVAT",,4
3,"Radosav Nišavić",2009,"ODBORNIK SO BIJELO POLJE",,5
3,"Radosav Nišavić",2009,"ODBORNIK SO BIJELO POLJE",,6
3,"Radosav Nišavić",2009,"ODBORNIK SO BIJELO POLJE",,7
4,"Slaven Radunović",2012,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1570 €",,8
5,"Zorica Kovačević",2005,"POMOĆNIK MINISTRA ZDRAVLJA",,9
6,"Nataša Vuković",2012,"POSLANICA U SKUPŠTINI CRNE GORE - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1381.38 € + 150 € ODBOR",,10
6,"Nataša Vuković",2012,"POSLANICA U SKUPŠTINI CRNE GORE - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1381.38 € + 150 € ODBOR",,11
7,"Saša Pešić",2015,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 246.64 € (dod.po osnovu vršenja f-je;nadok.za rad u Odboima 225€)",,12
183,"Saša V Pešić",2015,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 246.64 € (dod.po osnovu vršenja f-je;nadok.za rad u Odboima 225€)",,13
7,"Saša Pešić",2015,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 246.64 € (dod.po osnovu vršenja f-je;nadok.za rad u Odboima 225€)",,14
183,"Saša V Pešić",2015,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 246.64 € (dod.po osnovu vršenja f-je;nadok.za rad u Odboima 225€)",,15
8,"Valentina Radulović Šćepanović",2013,"SAVJETNICA PREDSJEDNIKA VLADE - Postavljena od: VLADA CG - visina mjesecne zarade 647.9 €",,16
9,"Miodrag Lekić",2012,"POSLANIK SKUPŠTINE CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade OKO 1300 € (precizan podatak posle prve dobijene plate)",,17
